          STOP_NAME           ; STOP_NUMBER ;     EVENT      ;     85:151:5344     ;     85:151:5345     ;     85:151:5346     ;     85:151:5347     ;     85:151:5348     ;     85:151:5349     ;     85:151:5350     ;     85:151:5351     ;     85:151:5352     ;     85:151:5353     ;     85:151:5354     ;     85:151:5355     ;     85:151:5356     ;     85:151:5357     ;     85:151:5358     ;     85:151:5359     ;     85:151:5360     ;     85:151:5361     ;     85:151:5362     ;     85:151:5363     ;     85:151:5364     ;     85:151:5365     ;     85:151:5366     ;     85:151:5367     ;     85:151:5368     ;     85:151:5369     
              Bussigny, Dallaz;      8581917;       DEPARTURE;  2025-07-01 06:26:00;  2025-07-01 07:02:00;  2025-07-01 07:26:00;  2025-07-01 08:02:00;  2025-07-01 08:26:00;  2025-07-01 09:02:00;  2025-07-01 09:26:00;  2025-07-01 10:02:00;  2025-07-01 10:26:00;  2025-07-01 11:02:00;  2025-07-01 11:26:00;  2025-07-01 12:02:00;  2025-07-01 12:26:00;  2025-07-01 13:02:00;  2025-07-01 13:26:00;  2025-07-01 14:02:00;  2025-07-01 14:26:00;  2025-07-01 15:02:00;  2025-07-01 15:26:00;  2025-07-01 16:02:00;  2025-07-01 16:26:00;  2025-07-01 17:02:00;  2025-07-01 17:26:00;  2025-07-01 18:02:00;  2025-07-01 18:26:00;  2025-07-01 19:02:00
              Bussigny, Dallaz;      8581917;  DEPARTURE_REAL;  2025-07-01 06:27:42;  2025-07-01 07:03:27;  2025-07-01 07:27:47;  2025-07-01 08:03:50;  2025-07-01 08:28:15;  2025-07-01 09:02:39;  2025-07-01 09:28:37;  2025-07-01 10:02:54;  2025-07-01 10:27:35;  2025-07-01 11:03:09;  2025-07-01 11:26:40;  2025-07-01 12:03:15;  2025-07-01 12:27:10;  2025-07-01 13:02:35;  2025-07-01 13:28:19;  2025-07-01 14:02:46;  2025-07-01 14:26:56;  2025-07-01 15:02:59;  2025-07-01 15:27:24;  2025-07-01 16:02:23;  2025-07-01 16:27:31;  2025-07-01 17:02:24;  2025-07-01 17:28:07;  2025-07-01 18:02:23;  2025-07-01 18:27:37;  2025-07-01 19:01:51
           Bussigny, Sottelles;      8506903;         ARRIVAL;  2025-07-01 06:27:00;  2025-07-01 07:01:00;  2025-07-01 07:27:00;  2025-07-01 08:01:00;  2025-07-01 08:27:00;  2025-07-01 09:01:00;  2025-07-01 09:27:00;  2025-07-01 10:01:00;  2025-07-01 10:27:00;  2025-07-01 11:01:00;  2025-07-01 11:27:00;  2025-07-01 12:01:00;  2025-07-01 12:27:00;  2025-07-01 13:01:00;  2025-07-01 13:27:00;  2025-07-01 14:01:00;  2025-07-01 14:27:00;  2025-07-01 15:01:00;  2025-07-01 15:27:00;  2025-07-01 16:01:00;  2025-07-01 16:27:00;  2025-07-01 17:01:00;  2025-07-01 17:27:00;  2025-07-01 18:01:00;  2025-07-01 18:27:00;  2025-07-01 19:01:00
           Bussigny, Sottelles;      8506903;    ARRIVAL_REAL;  2025-07-01 06:28:33;  2025-07-01 07:01:55;  2025-07-01 07:29:07;  2025-07-01 08:02:27;  2025-07-01 08:29:24;  2025-07-01 09:01:46;  2025-07-01 09:29:25;  2025-07-01 10:01:41;  2025-07-01 10:28:28;  2025-07-01 11:01:45;  2025-07-01 11:27:33;  2025-07-01 12:02:02;  2025-07-01 12:27:54;  2025-07-01 13:01:41;  2025-07-01 13:29:14;  2025-07-01 14:01:38;  2025-07-01 14:27:55;  2025-07-01 15:02:11;  2025-07-01 15:28:24;  2025-07-01 16:01:16;  2025-07-01 16:28:14;  2025-07-01 17:01:35;  2025-07-01 17:29:03;  2025-07-01 18:01:35;  2025-07-01 18:28:37;  2025-07-01 19:00:55
           Bussigny, Sottelles;      8506903;       DEPARTURE;  2025-07-01 06:27:00;  2025-07-01 07:01:00;  2025-07-01 07:27:00;  2025-07-01 08:01:00;  2025-07-01 08:27:00;  2025-07-01 09:01:00;  2025-07-01 09:27:00;  2025-07-01 10:01:00;  2025-07-01 10:27:00;  2025-07-01 11:01:00;  2025-07-01 11:27:00;  2025-07-01 12:01:00;  2025-07-01 12:27:00;  2025-07-01 13:01:00;  2025-07-01 13:27:00;  2025-07-01 14:01:00;  2025-07-01 14:27:00;  2025-07-01 15:01:00;  2025-07-01 15:27:00;  2025-07-01 16:01:00;  2025-07-01 16:27:00;  2025-07-01 17:01:00;  2025-07-01 17:27:00;  2025-07-01 18:01:00;  2025-07-01 18:27:00;  2025-07-01 19:01:00
           Bussigny, Sottelles;      8506903;  DEPARTURE_REAL;  2025-07-01 06:28:39;  2025-07-01 07:02:35;  2025-07-01 07:29:22;  2025-07-01 08:02:55;  2025-07-01 08:29:26;  2025-07-01 09:01:46;  2025-07-01 09:29:25;  2025-07-01 10:01:41;  2025-07-01 10:28:28;  2025-07-01 11:02:09;  2025-07-01 11:27:33;  2025-07-01 12:02:20;  2025-07-01 12:28:06;  2025-07-01 13:01:47;  2025-07-01 13:29:32;  2025-07-01 14:01:58;  2025-07-01 14:27:55;  2025-07-01 15:02:11;  2025-07-01 15:28:24;  2025-07-01 16:01:36;  2025-07-01 16:28:31;  2025-07-01 17:01:35;  2025-07-01 17:29:22;  2025-07-01 18:01:35;  2025-07-01 18:28:59;  2025-07-01 19:00:55
               Bussigny, Rente;      8594178;         ARRIVAL;  2025-07-01 06:31:00;  2025-07-01 06:59:00;  2025-07-01 07:31:00;  2025-07-01 07:59:00;  2025-07-01 08:31:00;  2025-07-01 08:59:00;  2025-07-01 09:31:00;  2025-07-01 09:59:00;  2025-07-01 10:31:00;  2025-07-01 10:59:00;  2025-07-01 11:31:00;  2025-07-01 11:59:00;  2025-07-01 12:31:00;  2025-07-01 12:59:00;  2025-07-01 13:31:00;  2025-07-01 13:59:00;  2025-07-01 14:31:00;  2025-07-01 14:59:00;  2025-07-01 15:31:00;  2025-07-01 15:59:00;  2025-07-01 16:31:00;  2025-07-01 16:59:00;  2025-07-01 17:31:00;  2025-07-01 17:59:00;  2025-07-01 18:31:00;  2025-07-01 18:59:00
               Bussigny, Rente;      8594178;    ARRIVAL_REAL;  2025-07-01 06:31:12;  2025-07-01 06:59:03;  2025-07-01 07:32:01;  2025-07-01 07:59:18;  2025-07-01 08:32:21;  2025-07-01 08:58:10;  2025-07-01 09:32:08;  2025-07-01 09:58:19;  2025-07-01 10:31:06;  2025-07-01 10:58:54;  2025-07-01 11:31:02;  2025-07-01 11:58:53;  2025-07-01 12:30:50;  2025-07-01 12:58:34;  2025-07-01 13:31:58;  2025-07-01 13:57:58;  2025-07-01 14:30:39;  2025-07-01 14:58:16;  2025-07-01 15:31:03;  2025-07-01 15:58:28;  2025-07-01 16:31:04;  2025-07-01 16:58:03;  2025-07-01 17:32:03;  2025-07-01 17:58:22;  2025-07-01 18:31:37;  2025-07-01 18:58:04
               Bussigny, Rente;      8594178;       DEPARTURE;  2025-07-01 06:31:00;  2025-07-01 06:59:00;  2025-07-01 07:31:00;  2025-07-01 07:59:00;  2025-07-01 08:31:00;  2025-07-01 08:59:00;  2025-07-01 09:31:00;  2025-07-01 09:59:00;  2025-07-01 10:31:00;  2025-07-01 10:59:00;  2025-07-01 11:31:00;  2025-07-01 11:59:00;  2025-07-01 12:31:00;  2025-07-01 12:59:00;  2025-07-01 13:31:00;  2025-07-01 13:59:00;  2025-07-01 14:31:00;  2025-07-01 14:59:00;  2025-07-01 15:31:00;  2025-07-01 15:59:00;  2025-07-01 16:31:00;  2025-07-01 16:59:00;  2025-07-01 17:31:00;  2025-07-01 17:59:00;  2025-07-01 18:31:00;  2025-07-01 18:59:00
               Bussigny, Rente;      8594178;  DEPARTURE_REAL;  2025-07-01 06:31:36;  2025-07-01 06:59:26;  2025-07-01 07:32:26;  2025-07-01 07:59:41;  2025-07-01 08:33:40;  2025-07-01 08:58:47;  2025-07-01 09:32:35;  2025-07-01 09:59:05;  2025-07-01 10:32:28;  2025-07-01 10:58:54;  2025-07-01 11:31:35;  2025-07-01 11:59:17;  2025-07-01 12:32:06;  2025-07-01 12:59:11;  2025-07-01 13:32:29;  2025-07-01 13:58:54;  2025-07-01 14:31:17;  2025-07-01 14:59:19;  2025-07-01 15:31:27;  2025-07-01 15:58:57;  2025-07-01 16:31:29;  2025-07-01 16:59:12;  2025-07-01 17:32:40;  2025-07-01 17:59:08;  2025-07-01 18:32:00;  2025-07-01 18:58:25
                 Mex VD, Faraz;      8594270;         ARRIVAL;  2025-07-01 06:37:00;  2025-07-01 06:53:00;  2025-07-01 07:37:00;  2025-07-01 07:53:00;  2025-07-01 08:37:00;  2025-07-01 08:53:00;  2025-07-01 09:37:00;  2025-07-01 09:53:00;  2025-07-01 10:37:00;  2025-07-01 10:53:00;  2025-07-01 11:37:00;  2025-07-01 11:53:00;  2025-07-01 12:37:00;  2025-07-01 12:53:00;  2025-07-01 13:37:00;  2025-07-01 13:53:00;  2025-07-01 14:37:00;  2025-07-01 14:53:00;  2025-07-01 15:37:00;  2025-07-01 15:53:00;  2025-07-01 16:37:00;  2025-07-01 16:53:00;  2025-07-01 17:37:00;  2025-07-01 17:53:00;  2025-07-01 18:37:00;  2025-07-01 18:53:00
                 Mex VD, Faraz;      8594270;    ARRIVAL_REAL;  2025-07-01 06:36:36;  2025-07-01 06:53:24;  2025-07-01 07:37:35;  2025-07-01 07:53:12;  2025-07-01 08:39:01;  2025-07-01 08:53:09;  2025-07-01 09:37:05;  2025-07-01 09:52:24;  2025-07-01 10:37:36;  2025-07-01 10:52:11;  2025-07-01 11:36:18;  2025-07-01 11:52:48;  2025-07-01 12:36:47;  2025-07-01 12:52:20;  2025-07-01 13:36:45;  2025-07-01 13:52:25;  2025-07-01 14:35:55;  2025-07-01 14:52:09;  2025-07-01 15:36:04;  2025-07-01 15:52:06;  2025-07-01 16:36:15;  2025-07-01 16:51:45;  2025-07-01 17:36:55;  2025-07-01 17:52:20;  2025-07-01 18:36:22;  2025-07-01 18:51:47
                 Mex VD, Faraz;      8594270;       DEPARTURE;  2025-07-01 06:37:00;  2025-07-01 06:53:00;  2025-07-01 07:37:00;  2025-07-01 07:53:00;  2025-07-01 08:37:00;  2025-07-01 08:53:00;  2025-07-01 09:37:00;  2025-07-01 09:53:00;  2025-07-01 10:37:00;  2025-07-01 10:53:00;  2025-07-01 11:37:00;  2025-07-01 11:53:00;  2025-07-01 12:37:00;  2025-07-01 12:53:00;  2025-07-01 13:37:00;  2025-07-01 13:53:00;  2025-07-01 14:37:00;  2025-07-01 14:53:00;  2025-07-01 15:37:00;  2025-07-01 15:53:00;  2025-07-01 16:37:00;  2025-07-01 16:53:00;  2025-07-01 17:37:00;  2025-07-01 17:53:00;  2025-07-01 18:37:00;  2025-07-01 18:53:00
                 Mex VD, Faraz;      8594270;  DEPARTURE_REAL;  2025-07-01 06:37:29;  2025-07-01 06:53:56;  2025-07-01 07:38:20;  2025-07-01 07:53:41;  2025-07-01 08:39:16;  2025-07-01 08:53:29;  2025-07-01 09:37:25;  2025-07-01 09:53:17;  2025-07-01 10:38:01;  2025-07-01 10:53:34;  2025-07-01 11:38:14;  2025-07-01 11:53:27;  2025-07-01 12:37:26;  2025-07-01 12:53:38;  2025-07-01 13:37:27;  2025-07-01 13:53:19;  2025-07-01 14:37:15;  2025-07-01 14:52:59;  2025-07-01 15:37:36;  2025-07-01 15:53:36;  2025-07-01 16:37:29;  2025-07-01 16:53:15;  2025-07-01 17:37:47;  2025-07-01 17:53:20;  2025-07-01 18:37:50;  2025-07-01 18:53:06
     Vufflens-la-Ville, église;      8593781;         ARRIVAL;  2025-07-01 06:41:00;  2025-07-01 06:49:00;  2025-07-01 07:41:00;  2025-07-01 07:49:00;  2025-07-01 08:41:00;  2025-07-01 08:49:00;  2025-07-01 09:41:00;  2025-07-01 09:49:00;  2025-07-01 10:41:00;  2025-07-01 10:49:00;  2025-07-01 11:41:00;  2025-07-01 11:49:00;  2025-07-01 12:41:00;  2025-07-01 12:49:00;  2025-07-01 13:41:00;  2025-07-01 13:49:00;  2025-07-01 14:41:00;  2025-07-01 14:49:00;  2025-07-01 15:41:00;  2025-07-01 15:49:00;  2025-07-01 16:41:00;  2025-07-01 16:49:00;  2025-07-01 17:41:00;  2025-07-01 17:49:00;  2025-07-01 18:41:00;  2025-07-01 18:49:00
     Vufflens-la-Ville, église;      8593781;    ARRIVAL_REAL;  2025-07-01 06:41:35;  2025-07-01 06:49:41;  2025-07-01 07:41:50;  2025-07-01 07:49:47;  2025-07-01 08:42:46;  2025-07-01 08:50:08;  2025-07-01 09:40:39;  2025-07-01 09:49:12;  2025-07-01 10:41:30;  2025-07-01 10:49:14;  2025-07-01 11:41:46;  2025-07-01 11:49:14;  2025-07-01 12:40:38;  2025-07-01 12:48:52;  2025-07-01 13:40:36;  2025-07-01 13:48:58;  2025-07-01 14:40:39;  2025-07-01 14:48:51;  2025-07-01 15:40:57;  2025-07-01 15:48:54;  2025-07-01 16:40:47;  2025-07-01 16:48:38;  2025-07-01 17:41:00;  2025-07-01 17:48:53;  2025-07-01 18:40:56;  2025-07-01 18:48:44
