STOP_NAME;STOP_NUMBER;EVENT;85:151:7069;85:151:7070;85:151:7072;85:151:7073;85:151:7075;85:151:7076;POSITION_X;POSITION_Y
Lausanne, Sablons;8592114;DEPARTURE_REAL;2025-04-01 01:14:29;2025-04-01 01:57:57;2025-04-01 02:26:24;2025-04-01 03:49:00;2025-04-01 04:29:33;2025-04-01 05:13:00;2535323;1152691
Lausanne, Tivoli;8592122;ARRIVAL_REAL;2025-04-01 01:04:24;2025-04-01 02:06:54;2025-04-01 02:16:51;2025-04-01 03:58:00;2025-04-01 04:20:00;2025-04-01 05:22:00;2537305;1152534
Lausanne, Tivoli;8592122;DEPARTURE_REAL;2025-04-01 01:04:36;2025-04-01 02:06:54;2025-04-01 02:16:51;2025-04-01 03:58:00;2025-04-01 04:20:00;2025-04-01 05:22:00;2537305;1152534
Renens VD, Censuy;8592209;ARRIVAL_REAL;2025-04-01 01:22:06;;2025-04-01 02:34:52;;2025-04-01 04:38:00;;2534431;1153812
Renens VD, Censuy;8592209;DEPARTURE_REAL;2025-04-01 01:22:06;;2025-04-01 02:34:52;;2025-04-01 04:38:00;;2534431;1153812
Renens VD, Chêne;8592210;ARRIVAL_REAL;2025-04-01 01:19:27;;2025-04-01 02:32:47;;2025-04-01 04:35:55;;2534899;1153437
Renens VD, Chêne;8592210;DEPARTURE_REAL;2025-04-01 01:19:27;;2025-04-01 02:32:47;;2025-04-01 04:35:55;;2534899;1153437
Renens VD, Longemalle;8592215;ARRIVAL_REAL;2025-04-01 01:17:08;;2025-04-01 02:31:37;;2025-04-01 04:34:45;;2535392;1153045
Renens VD, Longemalle;8592215;DEPARTURE_REAL;2025-04-01 01:17:30;;2025-04-01 02:31:37;;2025-04-01 04:34:45;;2535392;1153045
Renens VD, Caudray;8592218;ARRIVAL_REAL;2025-04-01 01:21:06;;2025-04-01 02:33:52;;2025-04-01 04:37:00;;2534580;1153738
Renens VD, Caudray;8592218;DEPARTURE_REAL;2025-04-01 01:21:26;;2025-04-01 02:33:52;;2025-04-01 04:37:00;;2534580;1153738
Renens VD, rue du Lac;8592219;ARRIVAL_REAL;2025-04-01 01:18:09;;2025-04-01 02:32:16;;2025-04-01 04:35:24;;2535061;1153251
Renens VD, rue du Lac;8592219;DEPARTURE_REAL;2025-04-01 01:18:47;;2025-04-01 02:32:16;;2025-04-01 04:35:24;;2535061;1153251
St-Sulpice VD, Russel;8592226;ARRIVAL_REAL;;2025-04-01 01:46:35;;2025-04-01 03:38:24;;2025-04-01 05:02:24;2532871;1151912
St-Sulpice VD, Russel;8592226;DEPARTURE_REAL;;2025-04-01 01:46:56;;2025-04-01 03:38:24;;2025-04-01 05:02:24;2532871;1151912
St-Sulpice VD, Pâqueret;8592227;ARRIVAL_REAL;;2025-04-01 01:48:05;;2025-04-01 03:40:00;;2025-04-01 05:04:00;2533389;1152057
