           STOP_NAME            ; STOP_NUMBER ;     EVENT      ;     85:151:7069     ;     85:151:7070     ;     85:151:7072     ;     85:151:7073     ;     85:151:7075     ;     85:151:7076     
               Renens VD, Censuy;      8592209;  DEPARTURE_REAL;  2025-04-01 01:22:06;                     ;  2025-04-01 02:34:52;                     ;  2025-04-01 04:38:00;                     
              Renens VD, Caudray;      8592218;    ARRIVAL_REAL;  2025-04-01 01:21:06;                     ;  2025-04-01 02:33:52;                     ;  2025-04-01 04:37:00;                     
              Renens VD, Caudray;      8592218;  DEPARTURE_REAL;  2025-04-01 01:21:26;                     ;  2025-04-01 02:33:52;                     ;  2025-04-01 04:37:00;                     
            Chavannes-R., Berges;      8594986;    ARRIVAL_REAL;                     ;  2025-04-01 01:52:57;                     ;  2025-04-01 03:44:48;                     ;  2025-04-01 05:08:48
            Chavannes-R., Berges;      8594986;  DEPARTURE_REAL;                     ;  2025-04-01 01:53:05;                     ;  2025-04-01 03:44:48;                     ;  2025-04-01 05:08:48
                Renens VD, Chêne;      8592210;    ARRIVAL_REAL;  2025-04-01 01:19:27;                     ;  2025-04-01 02:32:47;                     ;  2025-04-01 04:35:55;                     
                Renens VD, Chêne;      8592210;  DEPARTURE_REAL;  2025-04-01 01:19:27;                     ;  2025-04-01 02:32:47;                     ;  2025-04-01 04:35:55;                     
           Renens VD, rue du Lac;      8592219;    ARRIVAL_REAL;  2025-04-01 01:18:09;                     ;  2025-04-01 02:32:16;                     ;  2025-04-01 04:35:24;                     
           Renens VD, rue du Lac;      8592219;  DEPARTURE_REAL;  2025-04-01 01:18:47;                     ;  2025-04-01 02:32:16;                     ;  2025-04-01 04:35:24;                     
           Renens VD, Longemalle;      8592215;    ARRIVAL_REAL;  2025-04-01 01:17:08;                     ;  2025-04-01 02:31:37;                     ;  2025-04-01 04:34:45;                     
           Renens VD, Longemalle;      8592215;  DEPARTURE_REAL;  2025-04-01 01:17:30;                     ;  2025-04-01 02:31:37;                     ;  2025-04-01 04:34:45;                     
           Chavannes-R., Dorigny;      8595602;    ARRIVAL_REAL;                     ;  2025-04-01 01:55:16;                     ;  2025-04-01 03:46:53;                     ;  2025-04-01 05:10:53
           Chavannes-R., Dorigny;      8595602;  DEPARTURE_REAL;                     ;  2025-04-01 01:55:16;                     ;  2025-04-01 03:46:53;                     ;  2025-04-01 05:10:53
                Lausanne, Malley;      8501209;    ARRIVAL_REAL;  2025-04-01 01:17:08;                     ;  2025-04-01 02:30:51;                     ;  2025-04-01 04:34:00;                     
                Lausanne, Malley;      8501209;  DEPARTURE_REAL;  2025-04-01 01:17:08;                     ;  2025-04-01 02:30:51;                     ;  2025-04-01 04:34:00;                     
     Lausanne, Bourdonnette nord;      8595521;    ARRIVAL_REAL;                     ;  2025-04-01 01:56:19;                     ;  2025-04-01 03:48:00;                     ;  2025-04-01 05:12:00
     Lausanne, Bourdonnette nord;      8595521;  DEPARTURE_REAL;                     ;  2025-04-01 01:56:25;                     ;  2025-04-01 03:48:00;                     ;  2025-04-01 05:12:00
          Lausanne, Bourdonnette;      8501210;    ARRIVAL_REAL;  2025-04-01 01:15:03;                     ;  2025-04-01 02:27:51;                     ;  2025-04-01 04:31:00;                     
          Lausanne, Bourdonnette;      8501210;  DEPARTURE_REAL;  2025-04-01 01:15:03;                     ;  2025-04-01 02:27:51;                     ;  2025-04-01 04:31:00;                     
               Lausanne, Sablons;      8592114;    ARRIVAL_REAL;  2025-04-01 01:14:07;  2025-04-01 01:57:25;  2025-04-01 02:26:24;  2025-04-01 03:49:00;  2025-04-01 04:29:33;  2025-04-01 05:13:00
               Lausanne, Sablons;      8592114;  DEPARTURE_REAL;  2025-04-01 01:14:29;  2025-04-01 01:57:57;  2025-04-01 02:26:24;  2025-04-01 03:49:00;  2025-04-01 04:29:33;  2025-04-01 05:13:00
          Lausanne, Bois de Vaux;      8591995;    ARRIVAL_REAL;  2025-04-01 01:13:09;  2025-04-01 01:58:44;  2025-04-01 02:24:51;  2025-04-01 03:50:17;  2025-04-01 04:28:00;  2025-04-01 05:14:17
          Lausanne, Bois de Vaux;      8591995;  DEPARTURE_REAL;  2025-04-01 01:13:16;  2025-04-01 01:58:44;  2025-04-01 02:24:51;  2025-04-01 03:50:17;  2025-04-01 04:28:00;  2025-04-01 05:14:17
    Lausanne, Maladière-Figuiers;      8593837;    ARRIVAL_REAL;  2025-04-01 01:12:00;  2025-04-01 02:00:14;  2025-04-01 02:23:51;  2025-04-01 03:52:00;  2025-04-01 04:27:00;  2025-04-01 05:16:00
